species,layer,p2,p3,p4,p5,p6,p8,p9,p11,p12,p14,p15,p17,p19,p20,p21,p22,p23,p25,p27
Cytisus scoparius,hl,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*1,NA,NA
Dactylis glomerata,hl,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dactylis polygama,hl,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*2,*1,NA,NA,NA,NA,NA
Dactylis sp.,hl,*1,NA,*1,NA,NA,NA,NA,*1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dryopteris filix-mas,hl,NA,NA,*1,NA,NA,*2,NA,*2,NA,NA,NA,NA,NA,*2,NA,NA,NA,1,NA
Fagus sylvatica,hl,NA,NA,*2,3,*1,NA,NA,NA,NA,NA,*1,NA,NA,NA,1,NA,NA,1,4
Festuca gigantea,hl,NA,NA,NA,*4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
Fraxinus excelsior,hl,NA,NA,*1,NA,*1,NA,NA,NA,NA,NA,*4,*2,NA,NA,4,NA,NA,NA,4
Galium odoratum,hl,*1,NA,2,1,*2,2,*1,2,NA,*1,*2,*1,4,*4,3,NA,NA,NA,6
Galium verum agg.,hl,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Geum urbanum,hl,NA,NA,NA,NA,*1,NA,NA,NA,NA,NA,NA,NA,*1,NA,NA,NA,NA,NA,1
Glechoma hederacea,hl,NA,NA,*1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
Hedera helix,hl,1,NA,*2,*1,5,*1,3,*1,1,*2,4,5,3,5,7,3,1,*4,6
Helleborus foetidus,hl,NA,NA,NA,NA,*1,NA,*1,NA,NA,NA,NA,NA,NA,NA,NA,NA,*1,NA,NA
Hieracium murorum,hl,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
Hieracium sp.,hl,*1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Impatiens parviflora,hl,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
Juglans regia,hl,NA,NA,*1,NA,NA,NA,*1,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,*1,NA
Lamium galeobdolon,hl,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lamium galeobdolon,hl,NA,NA,2,NA,*2,NA,*2,NA,NA,1,*1,*4,NA,NA,NA,1,NA,NA,3
Lamium galeobdolon agg.,hl,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lamium maculatum,hl,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*1,NA,NA,NA,NA,NA,NA,NA,NA
Lathyrus niger,hl,*1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*2,NA,NA
Lathyrus vernus,hl,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*1,1,NA,NA,NA,NA
Ligustrum vulgare,hl,NA,NA,NA,NA,NA,NA,*1,NA,NA,NA,*4,NA,NA,NA,NA,NA,NA,NA,NA
Lithospermum purpurocaeruleum,hl,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*4,NA,NA,NA,NA,NA,NA,NA,NA
Luzula luzuloides,hl,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*1,NA
Melica nutans,hl,NA,NA,*1,NA,NA,NA,NA,NA,NA,NA,NA,*1,NA,NA,NA,NA,NA,NA,NA
Mercurialis perennis,hl,NA,NA,NA,NA,NA,NA,*1,NA,NA,3,*1,NA,NA,NA,NA,NA,NA,NA,NA
Milium effusum,hl,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*1,NA
Mycelis muralis,hl,NA,NA,*1,NA,NA,NA,NA,NA,NA,NA,NA,NA,*1,*1,NA,NA,NA,NA,NA
Paris quadrifolia,hl,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*2,NA,NA,NA
Poa nemoralis,hl,*1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Prunus avium,hl,NA,NA,NA,*1,NA,NA,NA,NA,NA,NA,*1,NA,NA,NA,NA,NA,NA,NA,NA
Prunus spinosa,hl,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*2,NA,NA
Quercus robur,hl,NA,NA,*1,*1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,4
Ribes uva-crispa,hl,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*2,NA,NA,NA,NA,NA,NA,NA
Rosa canina,hl,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
Rubus fruticosus agg.,hl,NA,NA,NA,*2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
