"","p2","p3","p4","p5","p6","p8","p9","p11","p12","p14","p15","p17","p19","p20","p21","p22","p23","p25","p27"
"Juglans_regia_hl",0,0,10,0,0,0,10,0,0,0,0,0,0,0,40,0,0,10,0
"Lamium_galeobdolon_hl",0,0,20,0,2,0,2,0,0,10,10,40,0,0,0,10,0,0,30
"Lamium_galeobdolon_agg._hl",0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0
"Lamium_maculatum_hl",0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0
"Lathyrus_niger_hl",10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"Lathyrus_vernus_hl",0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0
"Ligustrum_vulgare_hl",0,0,0,0,0,0,10,0,0,0,40,0,0,0,0,0,0,0,0
"Lithospermum_purpurocaeruleum_hl",0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0
"Luzula_luzuloides_hl",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
"Melica_nutans_hl",0,0,10,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0
"Mercurialis_perennis_hl",0,0,0,0,0,0,10,0,0,30,10,0,0,0,0,0,0,0,0
"Milium_effusum_hl",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
"Mycelis_muralis_hl",0,0,10,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0
"Paris_quadrifolia_hl",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
"Poa_nemoralis_hl",10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Prunus_avium_hl",0,0,0,10,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0
"Prunus_spinosa_hl",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"Quercus_robur_hl",0,0,10,10,0,0,0,0,0,0,0,0,0,0,40,0,0,0,40
"Ribes_uva-crispa_hl",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
"Rosa_canina_hl",0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0
"Rubus_fruticosus_agg._hl",0,0,0,2,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0
"Rubus_idaeus_hl",0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0
"Rubus_sect._Rubus_hl",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0
"Rubus_vulgaris_hl",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
"Sambucus_sp._hl",0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0
"Solidago_virgaurea_hl",10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sorbus_torminalis_hl",0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0
"Teucrium_scorodonia_hl",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0
"Ulmus_cf._minor_hl",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
"Veronica_officinalis_hl",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vincetoxicum_hirundinaria_hl",0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0
"Viola_mirabilis_hl",0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0
"Viola_reichenbachiana_hl",0,0,10,0,2,0,0,0,0,10,0,0,0,0,20,0,0,0,10
"Leucobryum_glaucum_ml",40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Acer_campestre_jl",0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,10
"Acer_platanoides_jl",0,0,0,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Acer_pseudoplatanus_jl",0,0,10,0,0,0,0,10,0,0,0,2,0,0,0,0,0,0,20
"Carpinus_betulus_jl",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
"Corylus_avellana_jl",0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,10
"Fagus_sylvatica_jl",0,0,10,40,2,0,0,0,0,0,0,10,0,0,70,0,10,0,30
"Fraxinus_excelsior_jl",0,0,10,0,10,0,0,0,0,0,0,10,0,0,10,0,0,0,20
"Juglans_regia_jl",0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0
"Ligustrum_vulgare_jl",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
"Prunus_avium_jl",0,0,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Quercus_robur_jl",0,0,10,0,2,0,0,0,0,0,0,0,0,0,10,0,0,0,10
