"Abies_alba" "Acer_campestre" "Acer_platanoides" "Acer_pseudoplatanus" "Ajuga_reptans" "Alliaria_petiolata" "Allium_ursinum" "Alnus_glutinosa" "Anemone_nemorosa" "Arum_maculatum" "Athyrium_filix.femina" "Brachypodium_sylvaticum" "Campanula_trachelium" "Carex_digitata" "Carex_flacca" "Carex_montana" "Carex_sylvatica" "Carpinus_betulus" "Circaea_lutetiana" "Clematis_vitalba" "Convallaria_majalis" "Cornus_sanguinea" "Corylus_avellana" "Crataegus_laevigata" "Crataegus_monogyna" "Dactylis_glomerata" "Dryopteris_carthusiana" "Dryopteris_dilatata" "Dryopteris_filix.mas" "Fagus_sylvatica" "Festuca_altissima" "Festuca_ovina" "Ficaria_verna" "Fragaria_vesca" "Fraxinus_excelsior" "Galium_aparine" "Galium_odoratum" "Galium_sylvatikum" "Geranium_robertianum" "Geum_urbanum" "Glechoma_hederacea" "Hedera_helix" "Helleborus_foetidus" "Hieracium_murorum" "Impatiens_parviflora" "Impatiens_parviflora.1" "Juglans_regia" "Lamium_galeobdolon" "Lathyrus_niger" "Lathyrus_vernus" "Ligustrum_vulgare" "Lithospermum_purpurocaeruleum" "Luzula_luzuloides" "Melampyrum_pratense" "Melica_uniflora" "Mercurialis_perennis" "Milium_effusum" "Mycelis_muralis" "Oxalis_acetosella" "Pinus_sylvestris" "Poa_nemoralis" "Primula_elatior" "Prunus_avium" "Prunus_padus" "Prunus_spinosa" "Quercus_robur" "Quercus_spec" "Robinia_pseudoacacia" "Rosa_spec" "Rubus_fruticosus" "Rubus_idaeus" "Rubus_spec" "Sambucus_nigra" "Sanicula_europaea" "Silene_dioica" "Sorbus_torminalis" "Stellaria_nemorum" "Teucrium_scorodonia" "Ulmus_glabra" "Ulmus_minor" "Urtica_dioica" "Veronica_montana" "Vicia_sepium" "Vincetoxicum_hirundinaria" "Viola_hirta" "Viola_reichenbachiana"
"G3_2016" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 10 0 0 0 0 0 1 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"G4_2016" 0 0 0 4 0 0 1 0 1 0 0 0 0 0 0 0 1 0 1 0 0 0 2 0 0 0 1 0 2 1 0 0 0 0 0 0 0 0 1 0 2 0 0 0 0 0 0 1 0 0 2 0 1 0 2 0 1 1 0 0 0 0 0 2 0 0 0 0 0 0 0 1 2 0 1 0 0 0 0 0 1 0 0 0 0 0
"G5_2016" 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 2 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"C1_2016" 0 0 0 4 0 0 0 0 1 0 0 0 0 0 0 0 1 1 0 0 0 0 0 1 0 0 0 0 1 1 0 0 0 0 2 0 4 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 1 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 4 0 0 0 0 0 0
"C2_2016" 0 1 1 1 0 0 0 0 0 0 0 1 0 0 1 0 0 1 0 0 1 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"C4_2016" 0 1 0 4 0 0 0 0 4 0 0 0 0 0 0 0 0 1 0 0 1 0 0 1 0 0 1 0 0 9 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"C3_2016" 0 2 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 7 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"B1_2016" 0 0 0 4 0 0 0 0 1 1 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 1 0 0 7 0 0 0 0 1 0 1 0 0 0 0 2 0 0 0 0 0 1 0 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"B2_2016" 0 0 4 3 0 0 0 0 4 0 0 0 0 0 0 0 0 4 0 0 0 2 2 0 0 0 1 0 0 0 0 0 0 0 1 0 1 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 4 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"B3_2016" 0 0 0 2 0 0 1 0 44 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 5 0 0 0 0 1 0 0 0 0 0 0 2 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"B4_2016" 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 1 0 0 4 0 0 0 0 0 5 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"H1_2016" 0 1 0 4 0 1 0 0 4 0 0 0 0 0 0 0 1 0 0 0 2 0 0 0 0 0 0 0 0 2 0 0 0 0 2 0 2 0 0 0 0 1 0 0 0 0 0 0 0 1 2 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1
"H2_2016" 0 0 0 7 0 0 0 0 2 0 4 0 0 0 0 0 2 0 2 0 0 0 0 0 0 0 0 0 4 9 0 0 0 0 1 0 2 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 2 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 1 0 2 0 0 0
"H3_2016" 0 1 0 1 0 0 0 0 1 0 0 0 0 0 2 0 0 0 0 0 1 0 0 0 0 0 0 0 0 6 0 2 0 0 1 0 2 0 0 0 0 4 0 0 0 0 0 0 0 1 2 0 4 0 0 0 0 0 0 0 1 0 1 0 0 0 8 0 0 0 0 0 0 0 0 4 0 0 0 0 0 0 1 0 0 0
"H4_2016" 0 0 0 1 0 0 0 0 2 0 0 0 0 2 4 0 0 0 0 0 4 0 0 0 0 0 0 0 0 9 0 0 0 0 0 0 1 0 0 0 0 2 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 1 0 0 0 0 0 0 0 0 4 0 0 0 0 0 0 1 0 0 0
"H5_2016" 0 1 0 0 0 0 0 0 2 0 0 0 0 4 1 0 0 0 0 0 4 0 0 0 0 0 0 0 0 6 0 0 0 0 0 0 1 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"H6_2016" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0 0 0 2 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"H7_2016" 2 0 0 1 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 1 0 0 9 0 0 0 0 0 0 1 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 4 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0
"H8_2016" 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 6 0 0 0 0 1 4 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 1 0 0 0 0 4 0 1 2 0 0 0 0 2 0 0 0 0 1 0 0 0 0 0 0 0 0
"H9_2016" 0 0 0 4 0 0 2 3 1 0 0 0 0 0 0 0 0 0 2 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 3 0 0 0 0 0 0 4 0 0 4 0 0 0 0 0 1 0 0 0 0 0
