"Abies_alba" "Acer_campestre" "Acer_platanoides" "Acer_pseudoplatanus" "Ajuga_reptans" "Alliaria_petiolata" "Allium_ursinum" "Alnus_glutinosa" "Anemone_nemorosa" "Arum_maculatum" "Athyrium_filix.femina" "Brachypodium_sylvaticum" "Campanula_trachelium" "Carex_digitata" "Carex_flacca" "Carex_montana" "Carex_sylvatica" "Carpinus_betulus" "Circaea_lutetiana" "Clematis_vitalba" "Convallaria_majalis" "Cornus_sanguinea" "Corylus_avellana" "Crataegus_laevigata" "Crataegus_monogyna" "Dactylis_glomerata" "Dryopteris_carthusiana" "Dryopteris_dilatata" "Dryopteris_filix.mas" "Fagus_sylvatica" "Festuca_altissima" "Festuca_ovina" "Ficaria_verna" "Fragaria_vesca" "Fraxinus_excelsior" "Galium_aparine" "Galium_odoratum" "Galium_sylvatikum" "Geranium_robertianum" "Geum_urbanum" "Glechoma_hederacea" "Hedera_helix" "Helleborus_foetidus" "Hieracium_murorum" "Impatiens_parviflora" "Impatiens_parviflora.1" "Juglans_regia" "Lamium_galeobdolon" "Lathyrus_niger" "Lathyrus_vernus" "Ligustrum_vulgare" "Lithospermum_purpurocaeruleum" "Luzula_luzuloides" "Melampyrum_pratense" "Melica_uniflora" "Mercurialis_perennis" "Milium_effusum" "Mycelis_muralis" "Oxalis_acetosella" "Pinus_sylvestris" "Poa_nemoralis" "Primula_elatior" "Prunus_avium" "Prunus_padus" "Prunus_spinosa" "Quercus_robur" "Quercus_spec" "Robinia_pseudoacacia" "Rosa_spec" "Rubus_fruticosus" "Rubus_idaeus" "Rubus_spec" "Sambucus_nigra" "Sanicula_europaea" "Silene_dioica" "Sorbus_torminalis" "Stellaria_nemorum" "Teucrium_scorodonia" "Ulmus_glabra" "Ulmus_minor" "Urtica_dioica" "Veronica_montana" "Vicia_sepium" "Vincetoxicum_hirundinaria" "Viola_hirta" "Viola_reichenbachiana"
"H10_2016" 1 0 0 5 1 1 2 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 8 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 2 0 0 0 0
"F1_2016" 0 0 1 25 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 1 2 0 0 0 0 2 0 2 0 0 1 0 1 0 0 0 0 0 2 0 0 0 0 0 0 0 0 1 0 0 0 0 0 2 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"F2_2016" 0 0 0 8 0 0 0 0 4 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 2 1 0 0 0 0 1 0 1 0 0 2 0 1 0 0 0 0 0 4 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 2 1 0 0 0 0 0 0 0 0 1 0 0 0 0
"F3_2016" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"F4_2016" 0 1 1 1 0 0 0 0 2 0 0 2 0 0 2 0 0 0 0 0 2 0 0 2 0 0 0 0 0 6 0 0 0 0 0 1 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"F5_2016" 0 0 0 1 0 0 0 0 0 0 0 2 0 0 0 0 0 4 0 0 1 0 0 0 0 0 0 2 0 2 0 0 0 0 1 1 0 0 2 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 2 0 1 0 0 0 0 0 0 1 0 0 0 0 2 0 0 0 0 0 0 0 0 1 0 0 0 0 0
"F6_2016" 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 6 0 0 2 0 0 0 0 0 4 0 0 2 0 0 0 0 0 2 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 4 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0
"F7_2016" 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 2 0 0 4 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"F8_2016" 0 0 0 1 0 0 0 1 0 0 2 0 0 0 0 0 2 0 0 0 0 1 1 0 0 0 1 0 0 0 0 0 0 0 2 0 0 0 0 1 2 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 1 4 0 0 0 0
"F9_2016" 0 0 0 2 0 0 2 0 2 0 1 2 0 0 0 0 4 1 0 0 0 0 1 0 0 0 0 0 0 3 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"G6_2016" 2 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 8 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"G6.1_2016" 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 4 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"G7_2016" 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 2 0 0 6 0 0 0 1 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 2 1 0 1 0 0 0 0 1 0 0 0 0 1 0 0 0 0 1 0 0 0 1 0 0 0 0 0
"G1_2016" 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 5 0 0 1 0 2 0 0 0 4 0 1 0 0 0 0 0 1 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"B5_2016" 0 0 0 2 0 0 0 0 2 0 0 0 0 0 0 0 2 0 0 0 0 0 1 0 0 0 0 0 0 7 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"B8_2016" 0 0 0 4 0 0 0 2 1 0 0 0 0 0 0 0 1 0 0 0 1 0 2 0 0 0 1 0 0 0 0 0 0 0 2 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"M2_2015" 0 2 1 1 0 0 0 0 1 0 0 1 0 0 0 0 1 0 0 1 1 1 0 2 0 0 0 0 0 30 1 0 0 0 1 0 1 0 0 0 0 1 0 0 0 0 0 0 1 0 1 0 1 1 1 0 0 0 0 0 1 0 1 0 0 0 60 0 0 0 0 1 0 0 0 2 0 0 0 0 0 0 0 0 0 0
"M3_2015" 0 2 1 1 0 0 0 0 1 1 0 0 0 0 1 0 0 0 0 0 1 0 0 1 2 0 0 0 0 80 1 0 0 0 1 0 1 0 0 0 0 1 1 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0
"D3_2015" 0 2 2 0 1 0 0 0 2 0 0 0 0 0 4 0 2 0 2 0 2 0 0 10 0 1 0 0 0 80 0 0 0 1 2 0 2 0 0 0 0 10 1 2 0 0 1 0 2 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0
"A1_2015" 0 0 1 40 0 0 0 0 20 1 0 0 0 1 0 0 1 10 1 0 1 0 2 1 0 0 0 1 1 40 1 0 0 0 1 0 4 0 0 0 0 2 0 0 0 0 0 4 0 0 0 0 1 0 0 0 2 0 0 0 0 0 2 0 1 0 0 0 0 0 0 2 4 0 0 0 0 0 0 0 0 0 0 0 0 0
"A2_2015" 0 0 0 4 1 0 0 0 2 0 0 0 0 0 0 4 0 4 0 0 2 0 4 4 4 1 0 0 0 30 0 1 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 2 0 2 0 1 4 1 0 0 0 0 0 0 0 1 0 0 0 60 0 2 0 0 0 0 0 0 10 0 0 0 0 0 0 0 0 0 0
"A3_2015" 0 10 40 20 0 0 0 0 20 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 60 0 0 0 0 0 0 1 0 0 0 0 2 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 40 0 0 0 0 0 0 0
"B1_2015" 0 1 0 30 0 0 0 0 10 0 0 0 0 1 0 0 0 1 0 0 1 1 10 0 0 0 0 0 0 50 1 0 10 0 4 0 10 0 0 0 0 1 0 0 0 1 0 2 0 0 0 0 0 0 0 0 1 0 0 2 0 0 0 0 0 0 1 0 0 0 0 4 0 0 0 0 0 0 0 0 0 1 0 0 0 0
"B2_2015" 0 4 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 1 0 1 10 1 4 0 0 0 0 0 70 0 0 0 0 4 0 1 1 0 0 0 1 1 0 0 0 0 0 0 1 2 0 0 0 0 0 0 1 0 2 0 0 1 0 0 0 0 2 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 1 0
"B3_2015" 0 4 0 10 0 0 0 0 1 0 0 0 0 0 2 0 0 0 0 0 0 0 2 0 0 0 0 0 0 60 0 0 0 0 2 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 1 10 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1
"F1_2015" 0 0 2 10 1 0 0 0 10 1 0 0 0 0 0 0 1 4 0 0 1 0 2 0 0 0 0 0 1 40 0 0 1 0 0 0 10 0 0 0 0 6 0 0 0 1 0 4 0 0 0 0 0 0 1 0 1 0 0 0 0 0 1 0 0 0 2 0 0 0 0 1 1 0 0 0 0 0 0 0 0 1 0 0 0 1
"F2_2015" 0 4 0 1 4 0 0 0 0 0 0 2 1 0 0 0 4 0 10 20 2 10 2 4 0 0 0 0 0 30 0 0 2 1 10 0 0 2 0 0 0 10 4 1 0 0 0 0 0 1 50 1 0 0 0 0 0 1 0 0 0 0 2 0 0 0 1 0 1 0 2 0 0 0 0 0 0 0 0 0 1 0 0 0 1 2
"G1_2015" 0 10 0 2 0 0 0 0 4 1 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 1 60 0 0 1 0 10 0 2 0 0 0 0 1 0 0 0 0 0 0 0 1 1 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 2 0 2 0 0 0 0 0
"G2_2015" 0 10 0 0 0 0 0 0 2 0 0 0 0 0 1 0 0 1 0 0 2 0 0 2 0 0 0 0 0 40 0 1 0 0 0 0 1 0 0 0 0 2 0 1 0 0 0 0 1 0 4 0 0 1 1 0 0 0 0 0 0 0 2 0 0 0 30 0 1 0 0 1 1 0 0 10 0 0 0 0 0 0 0 1 1 0
